,Negin,Xiaoyan,Sanjna,Negin-Sanjna-diff,Negin-Xiaoyan-diff,Xiaoyan-Sanjna-diff,rowwise_std,text
697038743,6.0,11.0,6.0,0.0,5.0,5.0,2.8867513459481287,so is it in a sense that in a good world -JOHN DOE- would be facing 10-to-life? It is a very strange series of announcements...
587328837,6.0,3.0,1.0,5.0,3.0,2.0,2.5166114784235836,It's getting hot in herrr - no seriously it doesn't look good for @-JOHN DOE-_Mo #-JOHN DOE- #whatIsWithTheseCelebrities URL
-2055131915,7.0,4.0,2.0,5.0,3.0,2.0,2.516611478423583,"Now -JOHN DOE-?!? I swear if Denzel Washington or Tom Hanks come up in any of these sexual misconduct talks, I'm burning Hollywood down!"
-802831722,2.0,4.0,7.0,5.0,2.0,3.0,2.516611478423583,"-JOHN DOE- too, huh? Just light Hollywood on fire and start over"
-1155189376,7.0,2.0,5.0,2.0,5.0,3.0,2.516611478423583,"See also <OTHER TARGET 1>, actively working with Netflix (the same people who cut ties to -JOHN DOE-) in spite of multiple rape accusations."
-1706764343,6.0,6.0,2.0,4.0,0.0,4.0,2.309401076758503,Damn -JOHN DOE- too wtf.
-83680778,6.0,6.0,2.0,4.0,0.0,4.0,2.309401076758503,Here we go again. Yet another LIBERAL accused of sexual harassment. This time it's -JOHN DOE- from none other than ultra-liberal #NPR. The lack of moral compass and integrity will be undoing of what is left of Democrat Party. #MAGA #WednesdayWisdom #tcot #WorldVeganDay URL
-761651508,7.0,3.0,3.0,4.0,4.0,0.0,2.309401076758503,"Sorry I tried to fuck that kid but, you know, shit happens. - -JOHN DOE- 2017"
1501174928,5.0,,2.0,3.0,,,2.1213203435596424,"Re: -JOHN DOE-'s cynical maneuver, Was Jim McGreevy the 1st to try that? (Remember ""I am a gay American"") Or did someone else invent it?"
2070315963,6.0,3.0,2.0,4.0,3.0,1.0,2.081665999466133,"This discussion is about -JOHN DOE- (A cartoonist who makes The Loud House, a cartoon aimed towards children) harassing fellow workers."
1455608378,5.0,6.0,2.0,3.0,1.0,4.0,2.0816659994661326,I went to the same synagogue (back when I did such things) as -JOHN DOE- for years. Listened to him morally bloviate after Freundel.
1485920928,9.0,6.0,5.0,4.0,3.0,1.0,2.0816659994661326,"-JOHN DOE- is a brother of Trump's. Just look at them! Same bloated ego, misogynist, loud mouth........ So many pictures of them together!"
-1569821964,7.0,6.0,3.0,4.0,1.0,3.0,2.0816659994661326,It's a good day to have always hated <OTHER TARGET 2> and to have never been a -JOHN DOE- fan.
174534920,7.0,3.0,4.0,3.0,4.0,1.0,2.0816659994661326,"We've heard about -JOHN DOE-. Still waiting for the other shoe to drop on the rest of the ""Pussy Posse""."
-1205442563,7.0,6.0,3.0,4.0,1.0,3.0,2.0816659994661326,-JOHN DOE- and <OTHER TARGET 1>—I hate this world OKAY
-1686289696,7.0,6.0,3.0,4.0,1.0,3.0,2.0816659994661326,<OTHER TARGET 2> and -JOHN DOE-—I hate this world OKAY
1986761447,5.0,6.0,2.0,3.0,1.0,4.0,2.0816659994661326,I guess I’ll be throwing out my -JOHN DOE- Halloween mask.
-378299624,6.0,5.0,2.0,4.0,1.0,3.0,2.0816659994661326,"If women are speaking up 20 years later about <OTHER TARGET 1>, think of what's happening right now? Right, @-JOHN DOE- @amazon?"
-147767400,6.0,4.0,2.0,4.0,2.0,2.0,2.0,#<OTHER TARGET 1>Brothers #-JOHN DOE- everyone seems to have a problem keeping their dicks in their pants
-613059769,4.0,6.0,2.0,2.0,2.0,4.0,2.0,fucking -JOHN DOE-
2126124096,6.0,4.0,2.0,4.0,2.0,2.0,2.0,#-JOHN DOE-Brothers #<OTHER TARGET 2> everyone seems to have a problem keeping their dicks in their pants
1185811423,8.0,5.0,8.0,0.0,3.0,3.0,1.7320508075688772,"<OTHER TARGET 2> and -JOHN DOE- and their ilk and all the enablers fucked up women's lives and they should all, you know, just eat shit and"
-1180622644,6.0,6.0,3.0,3.0,0.0,3.0,1.7320508075688772,"Et tu, -JOHN DOE-? Ah jeez... Come on guys. Is it really so hard to keep our hands to ourselves? Aren't we supposed to master this by 5?"
1861359809,8.0,5.0,8.0,0.0,3.0,3.0,1.7320508075688772,"-JOHN DOE- and <OTHER TARGET 1> and their ilk and all the enablers fucked up women's lives and they should all, you know, just eat shit and"
1299121687,2.0,5.0,2.0,0.0,3.0,3.0,1.7320508075688772,will this nyt story also reveal the long-standing open secret that -JOHN DOE- isnt actually funny
1436045598,6.0,6.0,3.0,3.0,0.0,3.0,1.7320508075688772,Am simply a civilian who read articles in industry publications years ago that gave me impression -JOHN DOE- skeevy.
-970462430,6.0,6.0,3.0,3.0,0.0,3.0,1.7320508075688772,ok got it i once called charlie sheen and -JOHN DOE- « my man » but it seems like they are garbage too
815780887,5.0,3.0,2.0,3.0,2.0,1.0,1.5275252316519465,"Good morning to everyone except -JOHN DOE-, Chair of the Earth and Environment Dept at @BU_Tweets"
-1931179746,6.0,5.0,3.0,3.0,1.0,2.0,1.5275252316519465,"If women are speaking up 20 years later about -JOHN DOE-, think of what's happening right now? Right, @<OTHER TARGET 2> @amazon?"
-1854797921,7.0,6.0,4.0,3.0,1.0,2.0,1.5275252316519465,It's a good day to have always hated -JOHN DOE- and to have never been a <OTHER TARGET 1> fan.
1421839696,6.0,4.0,7.0,1.0,2.0,3.0,1.5275252316519465,-JOHN DOE- being accused of sexual assault is about as surprising as <OTHER TARGET 1> coming out as gay (which I honestly thought was an already established fact before he tried to use it as an excuse for sexually assaulting a 14 y/o boy).
-1885778670,6.0,4.0,7.0,1.0,2.0,3.0,1.5275252316519465,<OTHER TARGET 2> being accused of sexual assault is about as surprising as -JOHN DOE- coming out as gay (which I honestly thought was an already established fact before he tried to use it as an excuse for sexually assaulting a 14 y/o boy).
-1766291029,5.0,4.0,2.0,3.0,1.0,2.0,1.5275252316519465,"Excellent work on -JOHN DOE- story, Bente. You broke this, yes?"
-405858412,9.0,8.0,6.0,3.0,1.0,2.0,1.5275252316519465,"-JOHN DOE- is no different than Anthony <OTHER TARGET 1>. Both have many warts and faults, but crimes against children cannot be tolerated."
1740141799,7.0,6.0,4.0,3.0,1.0,2.0,1.5275252316519465,If proven of course it's not alright but -JOHN DOE- has been found guilty and Moore so far innocent till proven guilty. If ends Up he's guilty he goes andwill find another conservative to take his place. URL
-850864117,8.0,6.0,5.0,3.0,2.0,1.0,1.5275252316519465,"Why did the lefty lion #thenation, protect a violent sexual predator like #-JOHN DOE-? URL"
-1599479543,8.0,6.0,5.0,3.0,2.0,1.0,1.5275252316519465,"Whataboutism infects our side too? -JOHN DOE- is a predator, regardless of who else might be."
-1980256519,5.0,7.0,4.0,1.0,2.0,3.0,1.5275252316519465,Oh. That's fine. I can hate -JOHN DOE- too.
-623038971,6.0,3.0,5.0,1.0,3.0,2.0,1.5275252316519465,"My favorite RS memory is when a fellow grad student asked why the few women to grace its cover were all sexualized and guest speaker -JOHN DOE- insisted that was not the case but I went online later to look and, yeah. And Victor Navasky could have pressed him on it but didn't."
2052317954,7.0,5.0,4.0,3.0,2.0,1.0,1.5275252316519465,"""Mr. -JOHN DOE- sloppily kissed them on the mouth, sometimes in front of other staff members."" OTHER STAFF MEMBERS WHO ARE YOU??"
11652570,3.0,2.0,5.0,2.0,1.0,3.0,1.5275252316519465,not surprised in the slightest that -JOHN DOE- aka Claudio Palmieri was abusing Alice Glass but i'm surprised none of us noticed before this
76973488,1.0,3.0,1.0,0.0,2.0,2.0,1.1547005383792517,At least no women are coming out about Tyler Perry. Phew. <OTHER TARGET 2>/-JOHN DOE-/<OTHER TARGET 1> #handsonguys
-776140582,7.0,7.0,5.0,2.0,0.0,2.0,1.1547005383792517,Everyone in Hollywood knows -JOHN DOE- is an asshole . Well known fact on the set of heat his co - stars threatened an ass whooping he wasn't doing so much coke . Plus Heidi Fleiss
-996622341,7.0,9.0,9.0,2.0,2.0,0.0,1.1547005383792517,"-JOHN DOE-’s behavior is unacceptable, and he must resign immediately. No one should be made to feel unsafe by unwanted sexual advances, period. #copolitics"
-296446526,1.0,3.0,1.0,0.0,2.0,2.0,1.1547005383792517,At least no women are coming out about Tyler Perry. Phew. <OTHER TARGET 2>/<OTHER TARGET 3>/-JOHN DOE- #handsonguys
-1899720315,1.0,3.0,1.0,0.0,2.0,2.0,1.1547005383792517,At least no women are coming out about Tyler Perry. Phew. -JOHN DOE-/<OTHER TARGET 3>/<OTHER TARGET 1> #handsonguys
-1659004889,5.0,5.0,3.0,2.0,0.0,2.0,1.1547005383792517,"I'd been wondering when we'd get around to dudes in comics, and fully expected it to begin with -JOHN DOE-. But he's not alone..."
849534104,7.0,6.0,5.0,2.0,1.0,1.0,1.0,And our #AgresserOfTheDay is -JOHN DOE-. And tomorrow? #Hollywood #HollywoodHypocrites
1010477055,7.0,5.0,6.0,1.0,2.0,1.0,1.0,"There's the ""it was a long time ago"" and ""some of those bitches be lying."" -JOHN DOE-, and predatory men like him, just can't help themselves. URL"
691526579,7.0,8.0,9.0,2.0,1.0,1.0,1.0,It's about damn time @DCComics suspended -JOHN DOE-. About damn time. #StopProtectingAndPromotingPredators
1466714015,7.0,6.0,8.0,1.0,1.0,2.0,1.0,"The culture that must exist in order for these predators to thrive - predators like <OTHER TARGET 1>, <OTHER TARGET 2>, and -JOHN DOE- - make it unimaginably difficult for victims to speak up."
1328810353,6.0,7.0,5.0,1.0,1.0,2.0,1.0,When did pulling out your “junk” become a go-to move? Does The Juilliard School teach a course on Hypnotic Penis Tricks #<OTHER TARGET 3> #<OTHER TARGET 2> #KevinSpacy #-JOHN DOE- #hollywoodscandal URL
-1886590065,7.0,6.0,8.0,1.0,1.0,2.0,1.0,"The culture that must exist in order for these predators to thrive - predators like <OTHER TARGET 1>, -JOHN DOE-, and <OTHER TARGET 3> - make it unimaginably difficult for victims to speak up."
1908489327,6.0,7.0,5.0,1.0,1.0,2.0,1.0,When did pulling out your “junk” become a go-to move? Does The Juilliard School teach a course on Hypnotic Penis Tricks #-JOHN DOE- #<OTHER TARGET 2> #KevinSpacy #<OTHER TARGET 1> #hollywoodscandal URL
2004459769,1.0,3.0,2.0,1.0,2.0,1.0,1.0,-JOHN DOE-?? Are u kidding me!???!
563954926,6.0,7.0,5.0,1.0,1.0,2.0,1.0,Fuck you “-JOHN DOE-” (Claudio Palmieri).
-2082971218,6.0,8.0,7.0,1.0,2.0,1.0,1.0,"LCK, -JOHN DOE-, <OTHER TARGET 1>, <OTHER TARGET 3>, Fallon, keep em coming girls we will crush them all URL"
-1133790795,6.0,7.0,5.0,1.0,1.0,2.0,1.0,"--watching New Day now❤ -- your thoughts on NYTimes article on -JOHN DOE-? Such ugly, disgusting behavior 😝"
-799124349,6.0,8.0,7.0,1.0,2.0,1.0,1.0,"LCK, <OTHER TARGET 2>, -JOHN DOE-, <OTHER TARGET 3>, Fallon, keep em coming girls we will crush them all URL"
-1081335688,6.0,7.0,5.0,1.0,1.0,2.0,1.0,When did pulling out your “junk” become a go-to move? Does The Juilliard School teach a course on Hypnotic Penis Tricks #<OTHER TARGET 3> #-JOHN DOE- #KevinSpacy #<OTHER TARGET 1> #hollywoodscandal URL
-1050717824,6.0,8.0,7.0,1.0,2.0,1.0,1.0,"LCK, <OTHER TARGET 2>, <OTHER TARGET 1>, -JOHN DOE-, Fallon, keep em coming girls we will crush them all URL"
25025350,6.0,7.0,8.0,2.0,1.0,1.0,1.0,"-JOHN DOE-. Amazon Studios chief. On leave of absence amid sexual harassment claims. You know what to do, Twitter."
-1166697385,7.0,6.0,5.0,2.0,1.0,1.0,1.0,"See also -JOHN DOE-, actively working with Netflix (the same people who cut ties to <OTHER TARGET 2>) in spite of multiple rape accusations."
113947419,7.0,6.0,8.0,1.0,1.0,2.0,1.0,"The culture that must exist in order for these predators to thrive - predators like -JOHN DOE-, <OTHER TARGET 2>, and <OTHER TARGET 3> - make it unimaginably difficult for victims to speak up."
388004339,8.0,9.0,7.0,1.0,1.0,2.0,1.0,"everyone who unfortunately had to be in the same room as -JOHN DOE-, get some burning sage and cleanse every area his ugly ass has been in. demons aren’t welcomed"
-648035211,8.0,,7.0,1.0,,,0.7071067811865476,"#-JOHN DOE- FUCK steven little man -JOHN DOE-, he's a cunt!!!"
-599216585,7.0,8.0,7.0,0.0,1.0,1.0,0.5773502691896258,who else wants to help me burry -JOHN DOE-'s carreer
-487315218,7.0,7.0,6.0,1.0,0.0,1.0,0.5773502691896258,"Vote all these old men out. If they can’t say that -JOHN DOE- is a sexual predator, they don’t deserve the office."
89478845,6.0,6.0,7.0,1.0,0.0,1.0,0.5773502691896258,Is there a reason why you're not using the word rape here? Pretty sure CA considers -JOHN DOE-'s alledged actions rape.
-1243518566,7.0,6.0,6.0,1.0,1.0,0.0,0.5773502691896258,"you could argue that that’s all -JOHN DOE- thought he was doing too, but we both know it was way worse than that. nick also has a long standing reputation for soliciting nudes from minors"
-1974287554,5.0,4.0,4.0,1.0,1.0,0.0,0.5773502691896258,"What channel are you watching @billmaher @CNN Lets begin with Clinton, <OTHER TARGET 2>, Menendez, <OTHER TARGET 3>, Moore, -JOHN DOE-... get a grip on yourself Maher. #WakeUp"
1330422645,7.0,7.0,8.0,1.0,0.0,1.0,0.5773502691896258,"-JOHN DOE- is fucking cancelled, absolute scum"
2031824682,6.0,7.0,6.0,0.0,1.0,1.0,0.5773502691896258,Men are so disappointing. I loved -JOHN DOE- and <OTHER TARGET 1> and now in my eyes they’re trash.
-352094210,7.0,6.0,6.0,1.0,1.0,0.0,0.5773502691896258,"None of the -JOHN DOE- accusations are surprising, that dudes been a scumbag since day one"
-358210569,7.0,7.0,6.0,1.0,0.0,1.0,0.5773502691896258,"""-JOHN DOE-"" , and this piece of human garbage critiques President TRUMP❓❓❓ CHUTZPAH‼️🤨"
-1007885687,7.0,7.0,6.0,1.0,0.0,1.0,0.5773502691896258,"-JOHN DOE- is learning that lesson today too. A year ago he posts scathing tweet calling POTUS a ""disgusting pig"", now he's accused of being a disgusting pig. Life comes at you fast."
-1673599639,5.0,4.0,4.0,1.0,1.0,0.0,0.5773502691896258,"What channel are you watching @billmaher @CNN Lets begin with Clinton, -JOHN DOE-, Menendez, <OTHER TARGET 3>, Moore, <OTHER TARGET 1>... get a grip on yourself Maher. #WakeUp"
-971275443,6.0,7.0,7.0,1.0,1.0,0.0,0.5773502691896258,Why is Netflix still going ahead with -JOHN DOE- series without further investigation of rape charges? Scientology pressure?
-231814286,8.0,7.0,7.0,1.0,1.0,0.0,0.5773502691896258,"While these powerful men should have been called out and charged decades ago for their sexual predation, they’re being called out now. Feminists and liberals: keep fighting; the world is starting to listen. #HarveyWeinsten #-JOHN DOE- #BelieveWomen"
-318559323,7.0,8.0,7.0,0.0,1.0,1.0,0.5773502691896258,Hi! So it's great that you had <OTHER TARGET 2> fired. When will you be firing -JOHN DOE-?
-1097526352,8.0,7.0,8.0,0.0,1.0,1.0,0.5773502691896258,Hey when I was 15 someone from a semi-relevant record label attempted to catfish me by committing identity theft of someone else in the music scene and he did all the shit to me that -JOHN DOE- did to those other women. It’s called “child grooming” and it’s fucked.
1090903631,7.0,6.0,7.0,0.0,1.0,1.0,0.5773502691896258,-JOHN DOE- Accused of Raping Former Model in 2004. WE WILL RIP WHAT WE S-O-W.
149123604,7.0,6.0,7.0,0.0,1.0,1.0,0.5773502691896258,We're just supposed to be cool with -JOHN DOE- creeping on a minor because he's out of the closet now? Fuck out with that.
867174394,6.0,6.0,5.0,1.0,0.0,1.0,0.5773502691896258,"#fuckyou <OTHER TARGET 2>, <OTHER TARGET 1>, Polanski, CK, Allen, -JOHN DOE-, Cosby, Brando... who else? I need a complete list."
1964070789,7.0,8.0,7.0,0.0,1.0,1.0,0.5773502691896258,Hi! So it's great that you had -JOHN DOE- fired. When will you be firing <OTHER TARGET 1>?
-2036752958,6.0,7.0,6.0,0.0,1.0,1.0,0.5773502691896258,Men are so disappointing. I loved <OTHER TARGET 2> and -JOHN DOE- and now in my eyes they’re trash.
-508739154,6.0,6.0,7.0,1.0,0.0,1.0,0.5773502691896258,always got a creepy ass abuser vibe from -JOHN DOE- guess i was right 👋👋
748768376,7.0,6.0,6.0,1.0,1.0,0.0,0.5773502691896258,"Her statement is so on point, ""Why are we looking at why didn't the girls speak up?"" she says. ""Why not look at what about the culture? What did USA Gymnastics do, and -JOHN DOE- do, to manipulate these girls so much that they are so afraid to speak up?"""
-666308528,4.0,3.0,3.0,1.0,1.0,0.0,0.5773502691896258,"Moore, <OTHER TARGET 2>, -JOHN DOE-, Mueller, Putin/Trump in Vietnam, the tax ""cut"" bill from the Senate...how long is it going to take to unpack, and then how much longer to start healing."
244661492,6.0,6.0,5.0,1.0,0.0,1.0,0.5773502691896258,"#fuckyou <OTHER TARGET 2>, -JOHN DOE-, Polanski, CK, Allen, <OTHER TARGET 3>, Cosby, Brando... who else? I need a complete list."
935236339,7.0,6.0,6.0,1.0,1.0,0.0,0.5773502691896258,"I mean...it’s -JOHN DOE-? How has this not happened sooner? The guy is always offensive, rude, inappropriate, and awful."
1866655364,3.0,4.0,3.0,0.0,1.0,1.0,0.5773502691896258,Darn it. I was hoping a generation of tech employees would grow up not knowing who -JOHN DOE- was.
1001153726,8.0,7.0,8.0,0.0,1.0,1.0,0.5773502691896258,"Nah fuck -JOHN DOE-, absolute trash"
166633529,4.0,3.0,3.0,1.0,1.0,0.0,0.5773502691896258,"Moore, -JOHN DOE-, <OTHER TARGET 1>, Mueller, Putin/Trump in Vietnam, the tax ""cut"" bill from the Senate...how long is it going to take to unpack, and then how much longer to start healing."
1039999036,5.0,4.0,4.0,1.0,1.0,0.0,0.5773502691896258,"What channel are you watching @billmaher @CNN Lets begin with Clinton, <OTHER TARGET 2>, Menendez, -JOHN DOE-, Moore, <OTHER TARGET 1>... get a grip on yourself Maher. #WakeUp"
1048837647,6.0,6.0,5.0,1.0,0.0,1.0,0.5773502691896258,"#fuckyou -JOHN DOE-, <OTHER TARGET 1>, Polanski, CK, Allen, <OTHER TARGET 3>, Cosby, Brando... who else? I need a complete list."
1070099377,7.0,7.0,8.0,1.0,0.0,1.0,0.5773502691896258,"-JOHN DOE- is genuinely chaotic evil, I don’t give a fuck he was found not guilty in Gone Girl? he obviously still did it? case closed"
1690433733,8.0,9.0,9.0,1.0,1.0,0.0,0.5773502691896257,i genuinely hope men like <OTHER TARGET 2> and -JOHN DOE- will rot in prison for the rest of their days
-432268891,1.0,2.0,1.0,0.0,1.0,1.0,0.5773502691896257,-JOHN DOE- admits he was practicing for his role as billionaire playboy Bruce Wayne as far back as 2001....👀
1307050590,9.0,9.0,10.0,1.0,0.0,1.0,0.5773502691896257,"Also, #<OTHER TARGET 1> is a sick pervert. I do not find him funny, and like #-JOHN DOE-(less), I think both men should be in mental hospital institutions with max security, and heavily medicated. Like @realDonaldTrump, they're #UnfitForSociety at large."
1615716819,10.0,9.0,10.0,0.0,1.0,1.0,0.5773502691896257,-JOHN DOE- should be burned alive:)
-1802398865,9.0,10.0,10.0,1.0,1.0,0.0,0.5773502691896257,"Also, #-JOHN DOE- is a sick pervert. I do not find him funny, and like #<OTHER TARGET 2>(less), I think both men should be in mental hospital institutions with max security, and heavily medicated. Like @realDonaldTrump, they're #UnfitForSociety at large."
963993046,8.0,8.0,9.0,1.0,0.0,1.0,0.5773502691896257,I'm sickened and angry to hear what -JOHN DOE- has done physically and psychologically to most of oth women. and to think we don't even know the whole story and the full extent of his actions. #BurnItDownSis #FuckYourSorry
-1168993662,1.0,2.0,1.0,0.0,1.0,1.0,0.5773502691896257,"I've re-watched Stand by Me and Jaws lately and while watching both, thought to myself I really really hope no stories come out about -JOHN DOE- 😔"
623634277,8.0,9.0,9.0,1.0,1.0,0.0,0.5773502691896257,i genuinely hope men like -JOHN DOE- and <OTHER TARGET 1> will rot in prison for the rest of their days
552001770,8.0,8.0,9.0,1.0,0.0,1.0,0.5773502691896257,-JOHN DOE- has history of being a sexual predator. How has he not been in prison or even beaten thoroughly?
1988669197,7.0,7.0,7.0,0.0,0.0,0.0,0.0,Now -JOHN DOE- too. So many “A Holes” that I once respected. I’m so sad and disgusted. My heart goes out to all the women and men he’s harassed.
402382461,7.0,7.0,7.0,0.0,0.0,0.0,0.0,"I remember when everyone was dickriding -JOHN DOE- as a ""great writer"" and ""the only decent IGN employee"". I never understood it and got lots of shit for saying he always came off as a weird pervert in videos. Fucking called it years ago. And his writing was pure garbage."
1970745976,6.0,6.0,6.0,0.0,0.0,0.0,0.0,Seeing the accusation made against -JOHN DOE- is sickening and then seeing his post confuses the situation but ultimately
1883593055,8.0,8.0,8.0,0.0,0.0,0.0,0.0,"President Trump is draining the swamp in Washington, Americans must drain the cesspool in Hollywood boycott movies -JOHN DOE- to prison"
1431397059,7.0,7.0,7.0,0.0,0.0,0.0,0.0,"Just heard about -JOHN DOE-, it’s terrible what he did in the past and I think the women that spoke out are brave, I hate that we live in a society where this kind of behaviour is protected."
624688207,7.0,7.0,7.0,0.0,0.0,0.0,0.0,"-JOHN DOE- is cancelled too, but im not gonna let him ruin what oth meant to me fuck him"
-1566461060,2.0,2.0,2.0,0.0,0.0,0.0,0.0,"I'm a Matt Damon fan, can't even believe he was friends w -JOHN DOE- they're opposites!"
781540299,9.0,9.0,9.0,0.0,0.0,0.0,0.0,"Throwing -JOHN DOE- behind bars isn't enough justice for these girls, it never will be. What we need to do is push to do better as a society to get rid of shitheads like him"
